Bike Id,Duration,End Date,End Station Id,End Station Name,Id,Start Date,Start Station Id,Start Station Name,Subscription Type
632,589,1/13/2015 0:17,66,South Van Ness at Market,601202,1/13/2015 0:07,57,5th at Howard,Subscriber
116,922,1/13/2015 1:51,9,Japantown,601203,1/13/2015 1:35,2,San Jose Diridon Caltrain Station,Subscriber
602,442,1/13/2015 4:19,65,Townsend at 7th,601204,1/13/2015 4:12,67,Market at 10th,Subscriber
345,758,1/13/2015 4:27,41,Clay at Battery,601205,1/13/2015 4:14,66,South Van Ness at Market,Subscriber
493,135,1/13/2015 4:54,45,Commercial at Montgomery,601206,1/13/2015 4:52,73,Grant Avenue at Columbus Avenue,Subscriber
381,1097,1/13/2015 5:13,63,Howard at 2nd,601207,1/13/2015 4:54,65,Townsend at 7th,Subscriber
66,503,1/13/2015 5:21,67,Market at 10th,601208,1/13/2015 5:13,68,Yerba Buena Center of the Arts (3rd @ Howard),Subscriber
457,207,1/13/2015 5:27,77,Market at Sansome,601209,1/13/2015 5:23,62,2nd at Folsom,Subscriber
513,74,1/13/2015 5:38,69,San Francisco Caltrain 2 (330 Townsend),601211,1/13/2015 5:36,69,San Francisco Caltrain 2 (330 Townsend),Subscriber
562,664,1/13/2015 5:48,60,Embarcadero at Sansome,601214,1/13/2015 5:37,54,Embarcadero at Bryant,Subscriber
29,278,1/13/2015 5:42,77,Market at Sansome,601213,1/13/2015 5:37,73,Grant Avenue at Columbus Avenue,Subscriber
454,343,1/13/2015 5:44,77,Market at Sansome,601215,1/13/2015 5:38,73,Grant Avenue at Columbus Avenue,Subscriber
222,634,1/13/2015 5:48,46,Washington at Kearny,601212,1/13/2015 5:38,66,South Van Ness at Market,Subscriber
314,688,1/13/2015 5:51,77,Market at Sansome,601217,1/13/2015 5:39,69,San Francisco Caltrain 2 (330 Townsend),Subscriber
372,609,1/13/2015 5:50,69,San Francisco Caltrain 2 (330 Townsend),601216,1/13/2015 5:40,67,Market at 10th,Subscriber
152,200,1/13/2015 5:52,28,Mountain View Caltrain Station,601219,1/13/2015 5:49,30,Evelyn Park and Ride,Subscriber
601,342,1/13/2015 5:55,76,Market at 4th,601218,1/13/2015 5:49,72,Civic Center BART (7th at Market),Subscriber
326,217,1/13/2015 5:56,74,Steuart at Market,601220,1/13/2015 5:52,49,Spear at Folsom,Subscriber
502,5212,1/13/2015 7:25,71,Powell at Post (Union Square),601223,1/13/2015 5:58,71,Powell at Post (Union Square),Customer
602,207,1/13/2015 6:04,69,San Francisco Caltrain 2 (330 Townsend),601224,1/13/2015 6:01,65,Townsend at 7th,Subscriber
428,497,1/13/2015 6:12,62,2nd at Folsom,601226,1/13/2015 6:04,70,San Francisco Caltrain (Townsend at 4th),Subscriber
542,495,1/13/2015 6:12,77,Market at Sansome,601225,1/13/2015 6:04,70,San Francisco Caltrain (Townsend at 4th),Subscriber
556,261,1/13/2015 6:10,50,Harry Bridges Plaza (Ferry Building),601227,1/13/2015 6:05,49,Spear at Folsom,Subscriber
342,811,1/13/2015 6:20,59,Golden Gate at Polk,601228,1/13/2015 6:06,55,Temporary Transbay Terminal (Howard at Beale),Subscriber
71,430,1/13/2015 6:18,82,Broadway St at Battery St,601233,1/13/2015 6:11,55,Temporary Transbay Terminal (Howard at Beale),Subscriber
586,1133,1/13/2015 6:32,72,Civic Center BART (7th at Market),601234,1/13/2015 6:13,66,South Van Ness at Market,Subscriber
156,317,1/13/2015 6:24,2,San Jose Diridon Caltrain Station,601238,1/13/2015 6:19,4,Santa Clara at Almaden,Subscriber
541,203,1/13/2015 6:23,75,Mechanics Plaza (Market at Battery),601241,1/13/2015 6:20,50,Harry Bridges Plaza (Ferry Building),Subscriber
354,732,1/13/2015 6:34,69,San Francisco Caltrain 2 (330 Townsend),601243,1/13/2015 6:22,50,Harry Bridges Plaza (Ferry Building),Subscriber
416,155,1/13/2015 6:24,69,San Francisco Caltrain 2 (330 Townsend),601242,1/13/2015 6:22,61,2nd at Townsend,Subscriber
562,658,1/13/2015 6:35,70,San Francisco Caltrain (Townsend at 4th),601244,1/13/2015 6:24,60,Embarcadero at Sansome,Subscriber
305,576,1/13/2015 6:39,2,San Jose Diridon Caltrain Station,601249,1/13/2015 6:29,16,SJSU - San Salvador at 9th,Subscriber
179,283,1/13/2015 6:37,2,San Jose Diridon Caltrain Station,601253,1/13/2015 6:33,4,Santa Clara at Almaden,Subscriber
631,131,1/13/2015 6:36,69,San Francisco Caltrain 2 (330 Townsend),601257,1/13/2015 6:34,61,2nd at Townsend,Subscriber
508,881,1/13/2015 6:53,42,Davis at Jackson,601268,1/13/2015 6:38,65,Townsend at 7th,Subscriber
65,552,1/13/2015 6:47,2,San Jose Diridon Caltrain Station,601265,1/13/2015 6:38,8,San Salvador at 1st,Subscriber
536,647,1/13/2015 6:55,47,Post at Kearny,601273,1/13/2015 6:44,65,Townsend at 7th,Subscriber
492,929,1/13/2015 7:00,55,Temporary Transbay Terminal (Howard at Beale),601272,1/13/2015 6:44,70,San Francisco Caltrain (Townsend at 4th),Subscriber
493,1123,1/13/2015 7:03,70,San Francisco Caltrain (Townsend at 4th),601271,1/13/2015 6:44,73,Grant Avenue at Columbus Avenue,Subscriber
562,635,1/13/2015 6:55,55,Temporary Transbay Terminal (Howard at Beale),601274,1/13/2015 6:45,70,San Francisco Caltrain (Townsend at 4th),Subscriber
357,669,1/13/2015 6:58,41,Clay at Battery,601277,1/13/2015 6:47,61,2nd at Townsend,Subscriber
529,665,1/13/2015 6:58,61,2nd at Townsend,601276,1/13/2015 6:47,82,Broadway St at Battery St,Subscriber
540,505,1/13/2015 6:56,55,Temporary Transbay Terminal (Howard at Beale),601275,1/13/2015 6:47,70,San Francisco Caltrain (Townsend at 4th),Subscriber
597,1138,1/13/2015 7:07,70,San Francisco Caltrain (Townsend at 4th),601278,1/13/2015 6:48,73,Grant Avenue at Columbus Avenue,Subscriber
574,720,1/13/2015 7:03,62,2nd at Folsom,601281,1/13/2015 6:51,65,Townsend at 7th,Subscriber
338,779,1/13/2015 7:05,55,Temporary Transbay Terminal (Howard at Beale),601285,1/13/2015 6:52,67,Market at 10th,Subscriber
404,746,1/13/2015 7:07,61,2nd at Townsend,601286,1/13/2015 6:54,50,Harry Bridges Plaza (Ferry Building),Subscriber
603,521,1/13/2015 7:05,61,2nd at Townsend,601289,1/13/2015 6:56,50,Harry Bridges Plaza (Ferry Building),Subscriber
305,259,1/13/2015 7:02,4,Santa Clara at Almaden,601290,1/13/2015 6:58,2,San Jose Diridon Caltrain Station,Subscriber
498,298,1/13/2015 7:04,64,2nd at South Park,601292,1/13/2015 6:59,77,Market at Sansome,Subscriber
589,261,1/13/2015 7:03,70,San Francisco Caltrain (Townsend at 4th),601291,1/13/2015 6:59,65,Townsend at 7th,Subscriber
591,347,1/13/2015 7:10,77,Market at Sansome,601312,1/13/2015 7:05,64,2nd at South Park,Subscriber
589,691,1/13/2015 7:16,42,Davis at Jackson,601305,1/13/2015 7:05,70,San Francisco Caltrain (Townsend at 4th),Subscriber
576,906,1/13/2015 7:20,42,Davis at Jackson,601304,1/13/2015 7:05,70,San Francisco Caltrain (Townsend at 4th),Subscriber
372,798,1/13/2015 7:19,67,Market at 10th,601308,1/13/2015 7:06,69,San Francisco Caltrain 2 (330 Townsend),Subscriber
562,402,1/13/2015 7:14,57,5th at Howard,601311,1/13/2015 7:07,55,Temporary Transbay Terminal (Howard at Beale),Subscriber
468,886,1/13/2015 7:21,41,Clay at Battery,601310,1/13/2015 7:07,70,San Francisco Caltrain (Townsend at 4th),Subscriber
597,890,1/13/2015 7:21,41,Clay at Battery,601309,1/13/2015 7:07,70,San Francisco Caltrain (Townsend at 4th),Subscriber
621,483,1/13/2015 7:18,70,San Francisco Caltrain (Townsend at 4th),601313,1/13/2015 7:09,67,Market at 10th,Subscriber
593,459,1/13/2015 7:19,63,Howard at 2nd,601314,1/13/2015 7:11,69,San Francisco Caltrain 2 (330 Townsend),Subscriber
461,230,1/13/2015 7:18,70,San Francisco Caltrain (Townsend at 4th),601315,1/13/2015 7:14,65,Townsend at 7th,Subscriber
561,386,1/13/2015 7:21,45,Commercial at Montgomery,601316,1/13/2015 7:15,55,Temporary Transbay Terminal (Howard at Beale),Subscriber
560,200,1/13/2015 7:20,69,San Francisco Caltrain 2 (330 Townsend),601317,1/13/2015 7:16,65,Townsend at 7th,Subscriber
