"Invoice","Invoice Date","Invoice Type","Pay Method","Payment Flag","Invoice Amount"
7802048,19-APR-17 07:02:42,"STANDARD","CHECK",1,577.78
7802046,19-APR-17 07:02:42,"STANDARD","EFT",1,4697.09
7802049,19-APR-17 07:02:42,"STANDARD","EFT",1,19.46
7802047,19-APR-17 07:02:42,"STANDARD","CHECK",1,35.05
7802050,19-APR-17 07:03:04,"STANDARD","EFT",1,87.2
7802051,19-APR-17 07:03:05,"STANDARD","CHECK",1,19.8
7802052,19-APR-17 07:03:05,"STANDARD","EFT",1,156.97
7802053,19-APR-17 07:03:06,"STANDARD","CHECK",1,77.6
7802054,19-APR-17 07:03:11,"STANDARD","EFT",1,360.61
7802055,19-APR-17 07:03:11,"STANDARD","EFT",1,1203.46
7802056,19-APR-17 07:03:12,"STANDARD","EFT",1,77.44
7802057,19-APR-17 07:03:13,"STANDARD","EFT",1,131.46
7802058,19-APR-17 07:03:18,"STANDARD","EFT",1,386.56
7802059,19-APR-17 07:03:19,"STANDARD","CHECK",1,27.38
7802060,19-APR-17 07:03:20,"STANDARD","CHECK",1,91.5
7802061,19-APR-17 07:03:21,"STANDARD","EFT",1,1844.8
7802062,19-APR-17 07:03:24,"STANDARD","EFT",1,14.9
7802063,19-APR-17 07:03:27,"STANDARD","CHECK",1,287.53
7802064,19-APR-17 07:03:29,"STANDARD","CHECK",1,310.4
7802065,19-APR-17 07:03:30,"STANDARD","EFT",1,452.77
7802066,19-APR-17 07:03:31,"STANDARD","CHECK",1,60
7802067,19-APR-17 07:03:33,"STANDARD","EFT",1,1345.66
7802068,19-APR-17 07:03:34,"STANDARD","CHECK",1,144.4
7802069,19-APR-17 07:03:36,"STANDARD","EFT",1,151.31
7802070,19-APR-17 07:03:37,"STANDARD","CHECK",1,50.65
7802071,19-APR-17 07:03:40,"STANDARD","CHECK",1,73.35
7802072,19-APR-17 07:03:41,"STANDARD","EFT",1,295.63
7802074,19-APR-17 07:03:42,"STANDARD","CHECK",1,78
7802073,19-APR-17 07:03:42,"STANDARD","EFT",1,18.05
7802075,19-APR-17 07:03:47,"STANDARD","CHECK",1,32.5
7802076,19-APR-17 07:03:49,"STANDARD","CHECK",1,104.18
7802077,19-APR-17 07:03:49,"STANDARD","CHECK",1,46.75
7802078,19-APR-17 07:03:50,"STANDARD","CHECK",1,57.1
7802079,19-APR-17 07:03:53,"STANDARD","EFT",1,449.38
7802080,19-APR-17 07:03:55,"STANDARD","EFT",1,458.51
7802081,19-APR-17 07:03:55,"STANDARD","CHECK",1,51.3
7802082,19-APR-17 07:03:56,"STANDARD","CHECK",1,43.74
7802083,19-APR-17 07:04:00,"STANDARD","EFT",1,2109.52
7802085,19-APR-17 07:04:01,"STANDARD","EFT",1,3679.54
7802084,19-APR-17 07:04:01,"STANDARD","CHECK",1,253.55
7802086,19-APR-17 07:04:03,"STANDARD","EFT",1,65.32
7802087,19-APR-17 07:04:07,"STANDARD","EFT",1,182.2
7802089,19-APR-17 07:04:09,"STANDARD","CHECK",1,361.6
7802088,19-APR-17 07:04:09,"STANDARD","CHECK",1,285.36
7802090,19-APR-17 07:04:10,"STANDARD","CHECK",1,37.45
7802091,19-APR-17 07:04:13,"STANDARD","EFT",1,317.4
7802093,19-APR-17 07:04:16,"STANDARD","EFT",1,126.76
7802094,19-APR-17 07:04:16,"STANDARD","EFT",1,45.34
7802092,19-APR-17 07:04:16,"STANDARD","EFT",1,887.27
7802095,19-APR-17 07:04:20,"STANDARD","CHECK",1,168.93
7802096,19-APR-17 07:04:21,"STANDARD","EFT",1,19.8
7802097,19-APR-17 07:04:23,"STANDARD","EFT",1,55.6
7802098,19-APR-17 07:04:24,"STANDARD","CHECK",1,185.36
7802099,19-APR-17 07:04:27,"STANDARD","CHECK",1,117.7
7802100,19-APR-17 07:04:27,"STANDARD","CHECK",1,80.4
7802101,19-APR-17 07:04:29,"STANDARD","CHECK",1,13.2
7802102,19-APR-17 07:04:31,"STANDARD","CHECK",1,227
7802103,19-APR-17 07:04:32,"STANDARD","CHECK",1,35.61
7802104,19-APR-17 07:04:33,"STANDARD","CHECK",1,28.8
7802105,19-APR-17 07:04:36,"STANDARD","EFT",1,1619.48
7802106,19-APR-17 07:04:38,"STANDARD","EFT",1,75.78
7802107,19-APR-17 07:04:39,"STANDARD","EFT",1,312.64
7802108,19-APR-17 07:04:40,"STANDARD","CHECK",1,28.8
7802109,19-APR-17 07:04:43,"STANDARD","CHECK",1,444
7802110,19-APR-17 07:04:44,"STANDARD","EFT",1,196.78
7802111,19-APR-17 07:04:44,"STANDARD","CHECK",1,331.45
7802112,19-APR-17 07:04:48,"STANDARD","CHECK",1,95.01
7802115,19-APR-17 07:04:49,"STANDARD","EFT",1,61.7
7802113,19-APR-17 07:04:49,"STANDARD","CHECK",1,32.4
7802114,19-APR-17 07:04:49,"STANDARD","EFT",1,163.85
7802117,19-APR-17 07:04:54,"STANDARD","CHECK",1,176
7802116,19-APR-17 07:04:54,"STANDARD","EFT",1,50.6
7802118,19-APR-17 07:04:55,"STANDARD","EFT",1,122.08
7802119,19-APR-17 07:04:55,"STANDARD","CHECK",1,19.8
7802122,19-APR-17 07:05:01,"STANDARD","CHECK",1,133.16
7802121,19-APR-17 07:05:01,"STANDARD","EFT",1,49.69
7802123,19-APR-17 07:05:01,"STANDARD","CHECK",1,19.8
7802120,19-APR-17 07:05:01,"STANDARD","EFT",1,176.6
