Invoice,Hold Date,Hold Code,Release Code,Release Reason,Status Flag
7803840,4/19/2017 16:33,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803841,4/19/2017 16:33,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803855,4/19/2017 16:34,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803855,4/19/2017 16:34,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803856,4/19/2017 16:34,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803858,4/19/2017 16:34,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804027,4/19/2017 16:34,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803921,4/19/2017 16:34,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803923,4/19/2017 16:34,LINE VARIANCE,VARIANCE CORRECTED,Invoice variance corrected,0
7803932,4/19/2017 16:34,QTY REC,MATCHED,Passed matching condition,0
7803933,4/19/2017 16:34,QTY REC,MATCHED,Passed matching condition,0
7803936,4/19/2017 16:35,QTY REC,MATCHED,Passed matching condition,0
7803944,4/19/2017 16:35,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803948,4/19/2017 16:35,QTY REC,MATCHED,Passed matching condition,0
7803951,4/19/2017 16:35,LINE VARIANCE,VARIANCE CORRECTED,Invoice variance corrected,0
7803955,4/19/2017 16:35,QTY REC,MATCHED,Passed matching condition,0
7803955,4/19/2017 16:35,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7803957,4/19/2017 16:35,QTY REC,MATCHED,Passed matching condition,0
7803958,4/19/2017 16:35,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803963,4/19/2017 16:35,LINE VARIANCE,VARIANCE CORRECTED,Invoice variance corrected,0
7803967,4/19/2017 16:35,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803967,4/19/2017 16:35,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803968,4/19/2017 16:35,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803977,4/19/2017 16:35,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7803990,4/19/2017 16:36,LINE VARIANCE,VARIANCE CORRECTED,Invoice variance corrected,0
7803995,4/19/2017 16:36,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804003,4/19/2017 16:36,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804038,4/19/2017 16:36,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804043,4/19/2017 16:36,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804044,4/19/2017 16:36,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804052,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804053,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804054,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804055,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804064,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804067,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804069,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804083,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804085,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804086,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804099,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804115,4/19/2017 16:37,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804011,4/19/2017 16:38,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804012,4/19/2017 16:38,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7804015,4/19/2017 16:38,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
