id,answer
1,5
2,5
3,5
4,5
5,5
6,5
7,4
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,4
16,5
17,5
18,5
19,5
20,3
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,4
33,5
34,4
35,5
36,5
37,5
38,4
39,5
40,4
41,5
42,3
43,5
44,5
45,5
46,5
47,5
48,5
49,3
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,4
68,5
69,5
70,5
71,5
72,4
73,5
74,5
75,5
76,4
77,4
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,4
92,5
93,5
94,4
95,5
96,5
97,2
98,5
99,3
100,3
101,5
102,4
103,5
104,5
105,4
106,4
107,5
108,3
109,5
110,5
111,4
112,4
113,5
114,4
115,5
116,5
117,4
118,4
119,5
120,3
121,3
122,4
123,4
124,3
125,4
126,5
127,3
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,4
137,5
138,2
139,5
140,5
141,5
142,3
143,4
144,
145,5
146,4
147,5
148,5
149,4
150,3
151,5
152,5
153,5
154,3
155,4
156,4
157,5
158,5
159,5
160,5
161,5
162,5
163,4
164,4
165,5
166,5
167,4
168,3
169,5
170,5
171,3
172,5
173,3
174,5
175,5
176,4
177,5
178,5
179,3
180,4
181,4
182,4
183,5
184,5
185,5
186,5
187,4
188,4
189,2
190,5
191,4
192,4
193,5
194,5
195,5
196,4
197,5
198,5
199,3
200,4
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,3
210,5
211,5
212,5
213,5
214,5
215,5
216,4
217,4
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,3
231,4
232,5
233,5
234,5
235,3
236,5
237,5
238,4
239,5
240,5
241,3
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,3
255,5
256,5
257,3
258,5
259,5
260,3
261,3
262,5
263,4
264,5
265,5
266,5
267,5
268,4
269,4
270,5
271,5
272,5
273,5
274,5
275,4
276,5
277,5
278,5
279,5
280,4
281,4
282,4
283,3
284,5
285,5
286,5
287,5
288,5
289,4
290,4
291,5
292,4
293,5
294,5
295,3
296,5
297,5
298,5
299,5
300,5
301,3
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,4
310,4
311,3
312,5
313,5
314,5
315,5
316,4
317,4
318,5
319,5
320,5
321,5
322,5
323,4
324,3
325,5
326,4
327,5
328,5
329,5
330,5
331,5
332,5
333,5
334,4
335,5
336,5
337,5
338,5
339,5
340,5
341,4
342,5
343,3
344,4
345,4
346,4
347,5
348,5
349,5
350,5
351,5
352,5
353,5
354,5
355,5
356,5
357,4
358,4
359,5
360,5
361,5
362,5
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,4
371,5
372,5
373,4
374,5
375,5
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,5
385,2
386,5
387,4
388,5
389,5
390,5
391,5
392,4
393,5
394,5
395,4
396,5
397,2
398,5
399,5
400,5
401,5
402,4
403,5
404,4
405,5
406,4
407,5
408,5
409,4
410,5
411,5
412,5
413,2
414,5
415,5
416,5
417,
418,5
419,5
420,3
421,5
422,5
423,5
424,4
425,5
426,5
427,4
428,5
429,5
430,5
431,5
432,5
433,4
434,5
435,5
436,4
437,4
438,5
439,5
440,5
441,5
442,5
443,5
444,4
445,5
446,5
447,5
448,4
449,5
450,5
451,5
452,4
453,5
454,5
455,5
456,5
457,5
458,5
459,1
460,5
461,5
462,4
463,4
464,5
465,3
466,5
467,5
468,5
469,3
470,5
471,4
472,5
473,3
474,5
475,5
476,4
477,5
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,5
487,5
488,5
489,5
490,5
491,1
492,5
493,5
494,5
495,5
496,5
497,4
498,3
499,5
500,5
501,5
502,4
503,5
504,5
505,5
506,5
507,5
508,4
509,5
510,4
511,4
512,5
513,4
514,4
515,5
516,5
517,5
518,5
519,4
520,4
521,5
522,5
523,5
524,5
525,5
526,4
527,5
528,4
529,5
530,4
531,4
532,5
533,5
534,5
535,5
536,5
537,5
538,5
539,5
540,5
541,5
542,5
543,5
544,5
545,5
546,5
547,5
548,5
549,4
550,4
551,5
552,3
553,5
554,4
555,4
556,4
557,5
558,5
559,3
560,5
561,3
562,4
563,5
564,5
565,5
566,5
567,5
568,4
569,5
570,5
571,5
572,4
573,4
574,5
575,5
576,4
577,5
578,5
579,5
580,5
581,5
582,4
583,5
584,5
585,4
586,4
587,5
588,4
589,5
590,5
591,5
592,3
593,4
594,4
595,4
596,5
597,3
598,5
599,5
600,5
601,5
602,5
603,5
604,
605,5
606,5
607,5
608,4
609,5
610,3
611,4
612,5
613,3
614,5
615,5
616,5
617,5
618,4
619,5
620,5
621,5
622,5
623,5
624,5
625,5
626,5
627,5
628,5
629,5
630,5
631,4
632,5
633,4
634,5
635,4
636,4
637,5
638,
639,4
640,5
641,5
642,5
643,4
