id,answer
1,5
2,4
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,1
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,4
29,5
30,5
31,4
32,4
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,4
42,5
43,5
44,5
45,4
46,5
47,5
48,5
49,5
50,5
51,4
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,4
67,4
68,3
69,5
70,5
71,5
72,4
73,5
74,5
75,5
76,5
77,4
78,5
79,4
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,4
88,5
89,5
90,5
91,4
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,3
100,5
101,5
102,5
103,5
104,5
105,4
106,5
107,5
108,5
109,4
110,5
111,5
112,5
113,5
114,3
115,5
116,5
117,5
118,5
119,5
120,4
121,5
122,4
123,5
124,5
125,4
126,5
127,3
128,4
129,5
130,5
131,4
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,3
143,5
144,5
145,5
146,1
147,5
148,5
149,4
150,2
151,5
152,5
153,5
154,2
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,4
164,5
165,5
166,5
167,5
168,3
169,5
170,5
171,4
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,4
180,4
181,4
182,5
183,5
184,5
185,5
186,3
187,4
188,5
189,3
190,5
191,4
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,4
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,4
216,1
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,4
230,4
231,5
232,5
233,5
234,4
235,4
236,5
237,1
238,5
239,5
240,5
241,3
242,5
243,3
244,
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,2
261,3
262,5
263,5
264,5
265,3
266,5
267,5
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,1
286,5
287,5
288,5
289,5
290,5
291,4
292,4
293,5
294,5
295,5
296,5
297,5
298,5
299,5
300,5
301,5
302,4
303,5
304,4
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,2
314,5
315,5
316,5
317,5
318,5
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,5
330,5
331,5
332,5
333,4
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
